,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
A,S&P; 500,24.42,2.68,0.30%,321.92M,-1.53%,21.07B,19.41,3.37,-5.17%,317.89M,-12.33%,868.00M,2.32,0.73,87.80%,1.37%,-9.23%,4.91B,4.29,27.30%,0.42%,1.52,5.92%,14.36,4.56,10.92%,3.70%,79.33,-5.57%,6.98,9.38,10.51%,6.90%,60.42 - 75.11,-2.96%,0.66,29.31,32.60%,13.60%,-12.85%,1.29,1.01%,2.70,4.80%,54.80%,8.34%,2.20,14800,3.30,8.80%,19.20%,45.70,2.96% 3.14%,Yes,0.39,23.50%,6.40%,1.09,63.27,Yes,0.39,Nov 19 AMC,58.10%,2.85M,65.46,1.80,-3.54%,-2.13%,-1.22%,"3,119,738",3.46%
AA,S&P; 500,977.24,0.03,0.10%,195.69M,4.34%,5.55B,8.01,3.54,0.00%,185.99M,-11.58%,10.00M,244.31,0.65,86.20%,2.90%,-33.92%,13.23B,0.42,158.50%,-0.70%,1.46,-39.55%,28.04,1.01,-3.04%,-0.10%,51.53,-48.00%,5.22,5.43,4.00%,-0.20%,25.01 - 62.35,6.62%,-,-,-,10.60%,-54.55%,-,-,0.80,-,25.10%,13.31%,1.53,14600,1.40,14.40%,12.10%,46.60,5.22% 5.11%,Yes,0.35,-136.50%,-0.10%,1.53,26.24,Yes,0.35,Jan 16 AMC,-,3.69M,28.34,2.00,2.06%,-10.95%,-33.25%,"5,652,866",8.00%
AAL,S&P; 500,6.94,4.62,0.20%,477.01M,0.00%,15.28B,5.63,5.69,4.38%,457.59M,-19.19%,2.18B,0.79,1.11,82.20%,5.12%,-17.42%,44.20B,0.35,16.20%,-1.52%,2.33,-15.66%,-1.23,-,23.51%,2.60%,48.83,-38.78%,10.18,3.15,8.74%,-167.00%,28.81 - 59.08,-0.22%,0.40,-,18.90%,15.30%,-45.77%,1.34,1.25%,0.50,11.20%,61.50%,11.21%,1.74,126600,0.60,5.40%,6.30%,45.19,5.54% 5.30%,Yes,-,-45.70%,3.10%,0.93,30.06,Yes,-,Jan 24 BMO,13.80%,10.05M,32.04,2.00,-2.25%,-7.81%,-19.46%,"9,344,567",6.59%
AAP,S&P; 500,34.34,4.63,0.10%,74.11M,2.66%,11.77B,19.50,8.14,0.27%,72.68M,-10.73%,343.20M,1.90,1.13,99.90%,4.29%,-5.24%,9.51B,1.24,-27.80%,-5.03%,2.62,16.89%,49.53,3.21,14.74%,6.40%,195.65,48.35%,13.09,12.13,18.06%,15.50%,102.15 - 186.15,0.86%,0.24,16.13,-3.00%,8.60%,-14.69%,1.08,0.15%,0.50,8.60%,43.80%,55.47%,4.97,40000,1.60,4.30%,6.40%,46.11,3.18% 3.20%,Yes,0.00,-0.90%,5.80%,1.20,162.85,Yes,0.29,Feb 12 BMO,3.20%,1.19M,158.81,2.30,-1.36%,-5.01%,8.71%,"1,423,037",-2.48%
AAPL,DJIA S&P500;,12.21,12.15,0.07%,4.87B,-5.05%,722.24B,10.13,14.64,-14.91%,4.74B,-19.78%,61.03B,0.94,4.68,61.30%,0.95%,-36.11%,265.60B,2.72,32.60%,-2.26%,1.03,-20.03%,22.31,6.65,10.18%,16.00%,219.94,-13.92%,13.61,10.89,13.00%,48.70%,142.00 - 233.47,-6.01%,2.92,14.33,16.50%,26.60%,-36.50%,1.22,1.97%,1.10,9.20%,38.30%,4.41%,6.41,132000,1.10,19.60%,26.70%,34.53,2.67% 3.41%,Yes,1.07,30.00%,22.40%,1.31,142.19,Yes,0.87,Jan 31 AMC,22.70%,43.57M,148.26,2.10,-8.38%,-19.21%,-23.19%,"57,275,863",4.27%
ABBV,S&P; 500,17.54,5.08,0.10%,1.52B,-0.93%,135.19B,10.22,8.72,-15.97%,1.49B,-4.90%,7.93B,1.04,1.93,72.20%,2.07%,-7.23%,32.19B,4.20,-2.40%,-0.03%,4.51,-5.73%,-1.93,-,9.61%,11.20%,99.83,-10.89%,5.79,15.39,16.84%,-,77.50 - 125.86,-3.38%,4.28,19.99,1.20%,17.80%,-29.23%,1.46,4.81%,1.10,9.00%,76.30%,14.93%,3.12,30000,1.20,17.70%,33.00%,54.84,2.95% 3.67%,Yes,-,78.30%,23.40%,1.29,86.29,Yes,-,Feb 01 BMO,67.50%,6.87M,89.07,2.60,1.81%,2.92%,-4.93%,"8,880,634",3.22%
ABC,S&P; 500,14.93,4.97,0.20%,215.59M,0.94%,16.00B,9.95,7.46,-34.70%,154.69M,-16.63%,1.10B,1.57,1.50,68.10%,2.97%,-18.47%,167.94B,0.10,202.40%,-2.58%,3.24,-14.89%,13.62,5.45,9.79%,4.40%,92.50,-21.37%,11.56,6.42,9.48%,54.90%,69.36 - 106.27,-0.24%,1.60,21.56,18.90%,17.10%,-30.16%,1.08,2.16%,0.50,13.80%,2.80%,7.01%,2.54,21000,0.90,10.70%,0.80%,35.02,2.54% 3.62%,Yes,1.59,175.30%,1.00%,1.70,73.37,Yes,1.54,Feb 05 BMO,20.00%,1.42M,74.22,2.40,-4.62%,-11.89%,-14.40%,"2,415,731",1.16%
ABMD,S&P; 500,68.23,4.59,2.00%,46.52M,-0.71%,14.58B,62.88,4.99,-3.55%,43.15M,-8.74%,211.90M,2.36,0.94,90.30%,2.08%,-26.50%,690.20M,21.13,149.60%,2.66%,1.31,-21.75%,17.64,17.77,-1.33%,23.80%,446.10,60.07%,8.82,35.52,28.90%,26.80%,197.27 - 459.75,-3.57%,-,94.19,51.40%,18.90%,-31.82%,0.58,-,6.10,30.30%,83.20%,58.89%,16.31,1143,6.90,36.90%,27.40%,47.35,4.49% 5.36%,Yes,0.00,102.60%,27.60%,0.91,302.29,Yes,0.00,Jan 31 BMO,0.00%,684.98K,313.44,1.50,0.62%,-5.27%,-13.93%,"623,759",3.69%
ABT,S&P; 500,51.60,1.32,0.20%,1.80B,-3.57%,122.74B,21.27,3.20,-16.38%,1.74B,-8.29%,2.33B,4.41,0.81,75.30%,0.85%,-5.46%,30.40B,4.04,44.60%,0.83%,2.00,11.05%,17.45,3.90,10.99%,1.20%,79.58,15.60%,4.19,16.26,11.69%,2.90%,55.58 - 74.92,-5.83%,1.28,41.47,47.40%,2.20%,-9.09%,1.26,1.88%,1.10,7.50%,58.00%,22.54%,2.28,99000,1.40,12.10%,10.20%,45.46,2.91% 3.03%,Yes,0.77,4.00%,2.90%,1.07,66.22,Yes,0.63,Jan 23 BMO,220.30%,7.40M,68.11,1.80,-2.75%,-2.84%,4.26%,"7,894,740",2.85%
ACN,S&P; 500,20.80,6.78,0.20%,683.12M,0.47%,96.37B,17.90,7.88,-10.22%,663.34M,-15.44%,4.39B,2.39,1.57,73.70%,0.90%,-18.99%,42.15B,2.29,21.50%,-1.51%,2.32,-14.40%,19.85,7.11,9.09%,17.30%,174.62,-8.72%,6.39,22.07,8.69%,39.60%,132.63 - 175.64,0.04%,2.92,26.05,6.00%,42.60%,-19.68%,1.09,2.07%,1.30,6.50%,30.10%,6.36%,4.43,459000,1.30,7.30%,14.20%,40.35,2.27% 2.96%,Yes,0.00,9.60%,10.00%,0.88,135.79,Yes,0.00,Dec 20 BMO,40.10%,2.56M,141.07,2.30,-5.23%,-9.23%,-11.58%,"2,252,124",3.89%
